INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:15:07,589 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:15:07,593 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:15:07,595 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:15:07,595 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:15:07,596 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:15:07,596 "GET /static/js/quantity.js HTTP/1.1" 200 3055
WARNING 2024-09-05 10:15:07,596 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:15:07,596 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:15:07,769 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:15:07,884 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:15:09,680 "GET / HTTP/1.1" 200 12896
INFO 2024-09-05 10:15:12,205 "GET /contact/ HTTP/1.1" 200 15531
INFO 2024-09-05 10:15:14,395 "GET /library/ HTTP/1.1" 200 34801
INFO 2024-09-05 10:15:15,567 "GET / HTTP/1.1" 200 12896
INFO 2024-09-05 10:15:16,681 "GET /library/ HTTP/1.1" 200 34801
INFO 2024-09-05 10:15:43,025 "GET /library/ HTTP/1.1" 200 34801
INFO 2024-09-05 10:15:43,095 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:15:43,095 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:15:43,096 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:15:43,097 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:15:43,099 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:15:43,099 "GET /static/js/quantity.js HTTP/1.1" 200 3055
